Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_4,1313,"75.92","72.3095","18752.988","490.7801","437.6667","8.0208","0.3024","54.5683","0","2344.1235",0,"1315","0","437.6667","8.0208"
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_5,1324,"50.1397","35.7383","15570.8827","329.8694","441.3333","8.3865","0.0154","62.6605","0","1946.3603",0,"1324","0","441.3333","8.3865"
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_6,1665,"94.7375","115.1509","19783.4553","6247.4315","555","244.2192","0.2373","52.2164","0","2472.9319",0,"1666","0","555","244.2192"
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_7,2289,"105.9825","124.1442","25500.0049","789.1202","763","3.6056","0.2935","36.0517","0","3187.5006",0,"2289","0","763","3.6056"
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_8,1785,"54.8476","46.7966","19527.4782","2833.9028","595","125.5986","0.0083","52.6061","0","2440.9348",0,"1785","0","595","125.5986"
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_9,1771,"82.6019","82.9606","19738.491","5657.0509","590.3333","284.9778","0.1853","52.4865","0","2467.3114",0,"1771","0","590.3333","284.9778"
"autonomy-level=1","autonomy-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_10,2572,"125.7978","167.8091","28531.7336","319.7223","857.3333","19.1398","0.3174","28.6339","0","3566.4667",0,"2574","0","857.3333","19.1398"
"autonomy-level=2","autonomy-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_1,2656,"235.9748","283.4928","27916.8269","743.4519","885.3333","26.0256","0.2006","2.2712","26.6397","3489.6034",2546,"112","22.7321","885.3333","26.0256"
"autonomy-level=2","autonomy-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_2,2575,"315.7138","385.1415","28935.5534","1372.4653","858.3333","21.5484","0.0505","2.2743","23.7897","3616.9442",2350,"225","10.4444","858.3333","21.5484"
"autonomy-level=2","autonomy-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_3,2612,"460.4108","635.9215","31605.1122","814.869","870.6667","18.8768","0.2658","3.3735","18.1555","3950.639",2292,"321","7.1402","870.6667","18.8768"
"autonomy-level=2","autonomy-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_4,2538,"731.7754","836.8019","31649.5261","463.406","846","10.5357","0.5797","7.3642","14.4294","3956.1908",1896,"644","2.9441","846","10.5357"
"autonomy-level=2","autonomy-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_5,2478,"467.113","566.7282","29884.9907","432.002","826","32.6037","0.3263","6.495","19.3287","3735.6238",2060,"420","4.9048","826","32.6037"
"autonomy-level=2","autonomy-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_6,2637,"655.5616","854.1847","31035.0155","463.6071","879","12.49","0.1841","8.1863","15.0197","3879.3769",1992,"646","3.0836","879","12.49"
"autonomy-level=2","autonomy-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=2_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_7,2556,"275.5634","342.3651","30260.1366","1653.8582","852","21.3776","0.4782","4.0799","19.3866","3782.5171",2329,"227","10.2599","852","21.3776"
