tick,time_of_day,time_window,open_orders,created_window_1,created_window_2,created_window_3,created_window_4,completed_window_1,completed_window_2,completed_window_3,completed_window_4
32700,9.08,2,4,423,2951,2403,1502,423,2945,2393,1513
33000,9.17,2,1,423,2951,2403,1502,423,2945,2393,1513
33300,9.25,2,5,423,2951,2403,1502,423,2945,2393,1513
33600,9.33,2,2,423,2951,2403,1502,423,2945,2393,1513
33900,9.42,2,4,423,2951,2403,1502,423,2945,2393,1513
34200,9.5,2,4,423,2951,2403,1502,423,2945,2393,1513
34500,9.58,2,1,423,2951,2403,1502,423,2945,2393,1513
34800,9.67,2,2,423,2951,2403,1502,423,2945,2393,1513
35100,9.75,2,3,423,2951,2403,1502,423,2945,2393,1513
35400,9.83,2,4,423,2951,2403,1502,423,2945,2393,1513
35700,9.92,2,2,423,2951,2403,1502,423,2945,2393,1513
36000,10,2,4,423,2951,2403,1502,423,2945,2393,1513
36300,10.08,2,2,423,2951,2403,1502,423,2945,2393,1513
36600,10.17,2,2,423,2951,2403,1502,423,2945,2393,1513
36900,10.25,2,4,423,2951,2403,1502,423,2945,2393,1513
37200,10.33,2,6,423,2951,2403,1502,423,2945,2393,1513
37500,10.42,2,6,423,2951,2403,1502,423,2945,2393,1513
37800,10.5,2,3,423,2951,2403,1502,423,2945,2393,1513
38100,10.58,2,4,423,2951,2403,1502,423,2945,2393,1513
38400,10.67,2,1,423,2951,2403,1502,423,2945,2393,1513
38700,10.75,2,8,423,2951,2403,1502,423,2945,2393,1513
39000,10.83,2,5,423,2951,2403,1502,423,2945,2393,1513
39300,10.92,2,4,423,2951,2403,1502,423,2945,2393,1513
39600,11,2,2,423,2951,2403,1502,423,2945,2393,1513
39900,11.08,2,5,423,2951,2403,1502,423,2945,2393,1513
40200,11.17,2,8,423,2951,2403,1502,423,2945,2393,1513
40500,11.25,2,1,423,2951,2403,1502,423,2945,2393,1513
40800,11.33,2,8,423,2951,2403,1502,423,2945,2393,1513
41100,11.42,2,6,423,2951,2403,1502,423,2945,2393,1513
41400,11.5,2,7,423,2951,2403,1502,423,2945,2393,1513
41700,11.58,2,3,423,2951,2403,1502,423,2945,2393,1513
42000,11.67,2,2,423,2951,2403,1502,423,2945,2393,1513
42300,11.75,2,4,423,2951,2403,1502,423,2945,2393,1513
42600,11.83,2,4,423,2951,2403,1502,423,2945,2393,1513
42900,11.92,2,6,423,2951,2403,1502,423,2945,2393,1513
43200,12,2,2,423,2951,2403,1502,423,2945,2393,1513
43500,12.08,2,5,423,2951,2403,1502,423,2945,2393,1513
43800,12.17,2,3,423,2951,2403,1502,423,2945,2393,1513
44100,12.25,2,4,423,2951,2403,1502,423,2945,2393,1513
44400,12.33,2,5,423,2951,2403,1502,423,2945,2393,1513
44700,12.42,2,8,423,2951,2403,1502,423,2945,2393,1513
45000,12.5,2,7,423,2951,2403,1502,423,2945,2393,1513
45300,12.58,2,4,423,2951,2403,1502,423,2945,2393,1513
45600,12.67,2,6,423,2951,2403,1502,423,2945,2393,1513
45900,12.75,2,1,423,2951,2403,1502,423,2945,2393,1513
46200,12.83,2,3,423,2951,2403,1502,423,2945,2393,1513
46500,12.92,2,4,423,2951,2403,1502,423,2945,2393,1513
46800,13,2,1,423,2951,2403,1502,423,2945,2393,1513
47100,13.08,2,3,423,2951,2403,1502,423,2945,2393,1513
47400,13.17,2,6,423,2951,2403,1502,423,2945,2393,1513
47700,13.25,2,2,423,2951,2403,1502,423,2945,2393,1513
48000,13.33,2,6,423,2951,2403,1502,423,2945,2393,1513
48300,13.42,2,3,423,2951,2403,1502,423,2945,2393,1513
48600,13.5,2,2,423,2951,2403,1502,423,2945,2393,1513
48900,13.58,2,0,423,2951,2403,1502,423,2945,2393,1513
49200,13.67,2,0,423,2951,2403,1502,423,2945,2393,1513
49500,13.75,2,1,423,2951,2403,1502,423,2945,2393,1513
49800,13.83,2,5,423,2951,2403,1502,423,2945,2393,1513
50100,13.92,2,6,423,2951,2403,1502,423,2945,2393,1513
50400,14,2,4,423,2951,2403,1502,423,2945,2393,1513
50700,14.08,2,6,423,2951,2403,1502,423,2945,2393,1513
51000,14.17,2,6,423,2951,2403,1502,423,2945,2393,1513
51300,14.25,2,2,423,2951,2403,1502,423,2945,2393,1513
51600,14.33,2,2,423,2951,2403,1502,423,2945,2393,1513
51900,14.42,2,3,423,2951,2403,1502,423,2945,2393,1513
52200,14.5,2,5,423,2951,2403,1502,423,2945,2393,1513
52500,14.58,2,3,423,2951,2403,1502,423,2945,2393,1513
52800,14.67,2,3,423,2951,2403,1502,423,2945,2393,1513
53100,14.75,2,7,423,2951,2403,1502,423,2945,2393,1513
53400,14.83,2,5,423,2951,2403,1502,423,2945,2393,1513
53700,14.92,2,2,423,2951,2403,1502,423,2945,2393,1513
54000,15,2,4,423,2951,2403,1502,423,2945,2393,1513
54300,15.08,2,5,423,2951,2403,1502,423,2945,2393,1513
54600,15.17,2,3,423,2951,2403,1502,423,2945,2393,1513
54900,15.25,2,4,423,2951,2403,1502,423,2945,2393,1513
55200,15.33,2,8,423,2951,2403,1502,423,2945,2393,1513
55500,15.42,2,2,423,2951,2403,1502,423,2945,2393,1513
55800,15.5,2,2,423,2951,2403,1502,423,2945,2393,1513
56100,15.58,2,1,423,2951,2403,1502,423,2945,2393,1513
56400,15.67,2,5,423,2951,2403,1502,423,2945,2393,1513
56700,15.75,2,1,423,2951,2403,1502,423,2945,2393,1513
57000,15.83,2,4,423,2951,2403,1502,423,2945,2393,1513
57300,15.92,2,2,423,2951,2403,1502,423,2945,2393,1513
57600,16,2,5,423,2951,2403,1502,423,2945,2393,1513
57900,16.08,2,3,423,2951,2403,1502,423,2945,2393,1513
58200,16.17,2,3,423,2951,2403,1502,423,2945,2393,1513
58500,16.25,2,4,423,2951,2403,1502,423,2945,2393,1513
58800,16.33,2,2,423,2951,2403,1502,423,2945,2393,1513
59100,16.42,2,5,423,2951,2403,1502,423,2945,2393,1513
59400,16.5,2,2,423,2951,2403,1502,423,2945,2393,1513
59700,16.58,2,10,423,2951,2403,1502,423,2945,2393,1513
60000,16.67,2,6,423,2951,2403,1502,423,2945,2393,1513
60300,16.75,2,5,423,2951,2403,1502,423,2945,2393,1513
60600,16.83,2,4,423,2951,2403,1502,423,2945,2393,1513
60900,16.92,2,6,423,2951,2403,1502,423,2945,2393,1513
61200,17,2,5,423,2951,2403,1502,423,2945,2393,1513
61500,17.08,2,4,423,2951,2403,1502,423,2945,2393,1513
61800,17.17,2,7,423,2951,2403,1502,423,2945,2393,1513
62100,17.25,2,4,423,2951,2403,1502,423,2945,2393,1513
62400,17.33,2,6,423,2951,2403,1502,423,2945,2393,1513
62700,17.42,2,3,423,2951,2403,1502,423,2945,2393,1513
63000,17.5,3,6,423,2951,2403,1502,423,2945,2393,1513
63300,17.58,3,13,423,2951,2403,1502,423,2945,2393,1513
63600,17.67,3,15,423,2951,2403,1502,423,2945,2393,1513
63900,17.75,3,11,423,2951,2403,1502,423,2945,2393,1513
64200,17.83,3,13,423,2951,2403,1502,423,2945,2393,1513
64500,17.92,3,10,423,2951,2403,1502,423,2945,2393,1513
64800,18,3,9,423,2951,2403,1502,423,2945,2393,1513
